item,rater,label,text
m001,ana,Positive,"The size exchange was painless, thank you."
m001,ben,Positive,"The size exchange was painless, thank you."
m001,chloe,Positive,"The size exchange was painless, thank you."
m001,dana,Neutral,"The size exchange was painless, thank you."
m001,eli,Positive,"The size exchange was painless, thank you."
m002,ana,Negative,Nobody told me the store was closing early. Wasted trip.
m002,ben,Sarcastic,Nobody told me the store was closing early. Wasted trip.
m002,chloe,Negative,Nobody told me the store was closing early. Wasted trip.
m002,dana,Neutral,Nobody told me the store was closing early. Wasted trip.
m002,eli,Sarcastic,Nobody told me the store was closing early. Wasted trip.
m003,ana,Negative,My complaint from last month was simply closed.
m003,ben,Negative,My complaint from last month was simply closed.
m003,chloe,Sarcastic,My complaint from last month was simply closed.
m003,dana,Negative,My complaint from last month was simply closed.
m003,eli,Negative,My complaint from last month was simply closed.
m004,ana,Negative,I want a refund. The product is nothing like the photos.
m004,ben,Sarcastic,I want a refund. The product is nothing like the photos.
m004,chloe,Sarcastic,I want a refund. The product is nothing like the photos.
m004,dana,Negative,I want a refund. The product is nothing like the photos.
m004,eli,Sarcastic,I want a refund. The product is nothing like the photos.
m005,ana,Negative,I was charged twice for the same order.
m005,ben,Negative,I was charged twice for the same order.
m005,chloe,Sarcastic,I was charged twice for the same order.
m005,dana,Neutral,I was charged twice for the same order.
m005,eli,Negative,I was charged twice for the same order.
m006,ana,Positive,Best customer service I've had from any company this year.
m006,ben,Positive,Best customer service I've had from any company this year.
m006,eli,Positive,Best customer service I've had from any company this year.
m007,ana,Sarcastic,Sync has been broken since the last update.
m007,ben,Sarcastic,Sync has been broken since the last update.
m007,chloe,Positive,Sync has been broken since the last update.
m007,dana,Neutral,Sync has been broken since the last update.
m007,eli,Negative,Sync has been broken since the last update.
m008,ana,Sarcastic,"Oh good, the chatbot understood me perfectly. Said no one ever."
m008,ben,Sarcastic,"Oh good, the chatbot understood me perfectly. Said no one ever."
m008,chloe,Sarcastic,"Oh good, the chatbot understood me perfectly. Said no one ever."
m008,dana,Sarcastic,"Oh good, the chatbot understood me perfectly. Said no one ever."
m008,eli,Sarcastic,"Oh good, the chatbot understood me perfectly. Said no one ever."
m009,ana,Positive,"Great product, great support, will buy again."
m009,ben,Positive,"Great product, great support, will buy again."
m009,chloe,Positive,"Great product, great support, will buy again."
m009,dana,Neutral,"Great product, great support, will buy again."
m009,eli,Positive,"Great product, great support, will buy again."
m010,ana,Neutral,Is the blue version still in stock?
m010,ben,Neutral,Is the blue version still in stock?
m010,chloe,Neutral,Is the blue version still in stock?
m010,dana,Neutral,Is the blue version still in stock?
m011,ana,Positive,The tutorial videos are genuinely helpful.
m011,ben,Positive,The tutorial videos are genuinely helpful.
m011,chloe,Positive,The tutorial videos are genuinely helpful.
m011,dana,Positive,The tutorial videos are genuinely helpful.
m011,eli,Positive,The tutorial videos are genuinely helpful.
m012,ana,Neutral,I need a VAT receipt for my purchase last week.
m012,ben,Neutral,I need a VAT receipt for my purchase last week.
m012,chloe,Neutral,I need a VAT receipt for my purchase last week.
m012,dana,Neutral,I need a VAT receipt for my purchase last week.
m012,eli,Neutral,I need a VAT receipt for my purchase last week.
m013,ana,Negative,Your store staff were rude and unhelpful.
